Регион,Случаи заболевания,Выздоровело,Умерло,Дата
Вологодская область,93,13,0,19.04.2020
Республика Адыгея,91,15,2,19.04.2020
Белгородская область,90,11,2,19.04.2020
Республика Саха (Якутия),88,16,0,19.04.2020
Приморский край,80,4,2,19.04.2020
Самарская область,79,15,0,19.04.2020
Республика Калмыкия,74,9,3,19.04.2020
Алтайский край,72,4,0,19.04.2020
Челябинская область ,68,33,0,19.04.2020
Республика Хакасия,68,3,0,19.04.2020
Карачаево-Черкесская Республика,67,1,0,19.04.2020
Удмуртская Республика,66,7,3,19.04.2020
Костромская область,66,7,2,19.04.2020
Магаданская область,63,1,0,19.04.2020
Иркутская область,55,12,2,19.04.2020
Республика Крым,45,22,0,19.04.2020
Псковская область,44,8,6,19.04.2020
Кемеровская область,35,6,1,19.04.2020
Забайкальский край,34,4,0,19.04.2020
Камчатский край,34,3,0,19.04.2020
Омская область,33,14,0,19.04.2020
Томская область,29,4,0,19.04.2020
Еврейская автономная область,20,4,0,19.04.2020
Сахалинская область,19,8,0,19.04.2020
Республика Карелия,19,0,0,19.04.2020
Амурская область,16,4,0,19.04.2020
Севастополь,13,2,0,19.04.2020
Курганская область,13,3,0,19.04.2020
Республика Тыва,13,0,0,19.04.2020
Чукотский автономный округ,2,0,0,19.04.2020
Республика Алтай,2,0,0,19.04.2020
Ненецкий автономный округ,1,0,0,19.04.2020
Москва,26350,1838,204,20.04.2020
Московская область,5241,176,49,20.04.2020
Санкт-Петербург,1846,241,8,20.04.2020
Нижегородская область,759,26,5,20.04.2020
Республика Коми,491,21,3,20.04.2020
Ленинградская область,454,9,0,20.04.2020
Краснодарский край,417,59,8,20.04.2020
Мурманская область,400,28,3,20.04.2020
Республика Дагестан,331,28,9,20.04.2020
Брянская область,321,30,1,20.04.2020
Тульская область,309,41,0,20.04.2020
Республика Ингушетия,308,22,5,20.04.2020
Красноярский край,306,17,2,20.04.2020
Республика Башкортостан,297,14,14,20.04.2020
Тверская область,296,12,0,20.04.2020
Республика Мордовия,293,5,1,20.04.2020
Ростовская область,292,13,0,20.04.2020
Республика Марий Эл,291,24,1,20.04.2020
Рязанская область,289,9,0,20.04.2020
Чеченская Республика,264,19,5,20.04.2020
Владимирская область,259,11,5,20.04.2020
Тюменская область,254,20,2,20.04.2020
Ставропольский край,244,26,3,20.04.2020
Республика Татарстан,230,25,0,20.04.2020
Калужская область,228,9,4,20.04.2020
Республика Чувашия,225,9,2,20.04.2020
Курская область,220,11,2,20.04.2020
Хабаровский край,215,16,5,20.04.2020
Пермский край,215,30,3,20.04.2020
Тамбовская область,209,8,0,20.04.2020
Ивановская область,203,12,2,20.04.2020
Смоленская область,189,4,2,20.04.2020
Ханты-Мансийский АО,188,21,0,20.04.2020
Ульяновская область,187,3,2,20.04.2020
Оренбургская область,184,16,2,20.04.2020
Воронежская область,180,28,5,20.04.2020
Орловская область,175,10,1,20.04.2020
Кировская область,169,14,2,20.04.2020
Липецкая область,169,60,1,20.04.2020
Пензенская область,165,4,5,20.04.2020
Кабардино-Балкарская Республика,152,8,0,20.04.2020
Свердловская область,149,52,1,20.04.2020
Республика Северная Осетия — Алания,145,8,2,20.04.2020
Ярославская область,144,12,0,20.04.2020
Саратовская область,142,13,0,20.04.2020
Ямало-Ненецкий автономный округ,140,7,1,20.04.2020
Калининградская область,138,35,1,20.04.2020
Астраханская область,136,9,3,20.04.2020
Новосибирская область,132,16,3,20.04.2020
Республика Бурятия,115,37,2,20.04.2020
Архангельская область,114,11,1,20.04.2020
Белгородская область,112,11,2,20.04.2020
Волгоградская область,111,25,1,20.04.2020
Новгородская область,108,4,1,20.04.2020
Республика Саха (Якутия),107,16,0,20.04.2020
Вологодская область,100,13,0,20.04.2020
Республика Адыгея,100,16,2,20.04.2020
Приморский край,97,4,2,20.04.2020
Самарская область,95,15,0,20.04.2020
Удмуртская Республика,92,7,3,20.04.2020
Карачаево-Черкесская Республика,87,1,0,20.04.2020
Алтайский край,84,4,0,20.04.2020
Челябинская область ,78,35,0,20.04.2020
Республика Калмыкия,77,9,3,20.04.2020
Республика Хакасия,76,3,0,20.04.2020
Костромская область,70,7,2,20.04.2020
Иркутская область,65,12,2,20.04.2020
Магаданская область,63,1,0,20.04.2020
Псковская область,52,9,6,20.04.2020
Республика Крым,45,22,0,20.04.2020
Забайкальский край,43,4,0,20.04.2020
Камчатский край,41,4,0,20.04.2020
Кемеровская область,41,6,1,20.04.2020
Омская область,36,16,0,20.04.2020
Томская область,33,4,0,20.04.2020
Республика Карелия,27,0,0,20.04.2020
Еврейская автономная область,22,4,0,20.04.2020
Амурская область,20,4,0,20.04.2020
Сахалинская область,19,8,0,20.04.2020
Севастополь,17,2,0,20.04.2020
Республика Тыва,13,0,0,20.04.2020
Курганская область,13,3,0,20.04.2020
Республика Алтай,4,0,0,20.04.2020
Чукотский автономный округ,2,0,0,20.04.2020
Ненецкий автономный округ,1,0,0,20.04.2020
Москва,29433,2057,233,21.04.2020
Московская область,5959,179,49,21.04.2020
Санкт-Петербург,1973,280,11,21.04.2020
Нижегородская область,860,28,5,21.04.2020
Республика Коми,507,21,3,21.04.2020
Ленинградская область,496,9,0,21.04.2020
Краснодарский край,461,70,8,21.04.2020
Мурманская область,435,32,3,21.04.2020
Тульская область,384,46,1,21.04.2020
Республика Башкортостан,371,20,14,21.04.2020
Республика Дагестан,371,43,11,21.04.2020
Красноярский край,370,17,2,21.04.2020
Республика Ингушетия,354,30,9,21.04.2020
Брянская область,350,58,1,21.04.2020
Ростовская область,346,13,0,21.04.2020
Тверская область,329,15,0,21.04.2020
Республика Мордовия,327,10,1,21.04.2020
Рязанская область,316,9,0,21.04.2020
Республика Марий Эл,311,46,1,21.04.2020
Чеченская Республика,303,19,5,21.04.2020
Тюменская область,290,28,2,21.04.2020
Республика Татарстан,280,30,0,21.04.2020
Владимирская область,280,11,5,21.04.2020
Ставропольский край,266,27,4,21.04.2020
Калужская область,258,9,6,21.04.2020
Хабаровский край,243,16,5,21.04.2020
Курская область,242,11,3,21.04.2020
Пермский край,237,30,3,21.04.2020
Республика Чувашия,235,9,5,21.04.2020
Свердловская область,233,55,1,21.04.2020
Оренбургская область,226,20,2,21.04.2020
Тамбовская область,222,9,0,21.04.2020
Ивановская область,213,12,2,21.04.2020
Воронежская область,211,30,6,21.04.2020
Смоленская область,208,4,2,21.04.2020
Орловская область,198,10,1,21.04.2020
Ханты-Мансийский АО,197,22,0,21.04.2020
Липецкая область,189,60,2,21.04.2020
Кировская область,188,14,2,21.04.2020
Ярославская область,187,12,0,21.04.2020
Ульяновская область,187,3,2,21.04.2020
Пензенская область,180,6,5,21.04.2020
Республика Северная Осетия — Алания,177,8,2,21.04.2020
Кабардино-Балкарская Республика,170,8,1,21.04.2020
Саратовская область,168,13,0,21.04.2020
Ямало-Ненецкий автономный округ,146,7,1,21.04.2020
Калининградская область,144,41,1,21.04.2020
Астраханская область,137,9,3,21.04.2020
Новосибирская область,135,16,4,21.04.2020
Волгоградская область,134,25,1,21.04.2020
Алтайский край,127,9,0,21.04.2020
Республика Бурятия,125,38,2,21.04.2020
Белгородская область,122,11,2,21.04.2020
Архангельская область,118,15,1,21.04.2020
Удмуртская Республика,118,7,3,21.04.2020
Новгородская область,114,4,1,21.04.2020
Республика Саха (Якутия),111,16,0,21.04.2020
Республика Адыгея,108,21,2,21.04.2020
Вологодская область,107,13,0,21.04.2020
Карачаево-Черкесская Республика,106,1,0,21.04.2020
Приморский край,104,7,2,21.04.2020
Самарская область,103,15,0,21.04.2020
Челябинская область ,92,35,0,21.04.2020
Республика Хакасия,84,4,0,21.04.2020
Костромская область,81,7,2,21.04.2020
Республика Калмыкия,77,9,3,21.04.2020
Иркутская область,68,12,3,21.04.2020
Магаданская область,65,1,0,21.04.2020
Псковская область,58,9,6,21.04.2020
Забайкальский край,50,4,0,21.04.2020
Камчатский край,48,4,0,21.04.2020
Кемеровская область,47,11,1,21.04.2020
Республика Крым,46,22,0,21.04.2020
Еврейская автономная область,43,4,0,21.04.2020
Омская область,41,16,0,21.04.2020
Томская область,37,4,0,21.04.2020
Республика Карелия,30,0,0,21.04.2020
Амурская область,20,4,0,21.04.2020
Сахалинская область,19,8,0,21.04.2020
Севастополь,18,2,0,21.04.2020
Курганская область,15,3,0,21.04.2020
Республика Тыва,13,0,0,21.04.2020
